"Timestamp","Are you 18 or older?","Are you currently an undergrad student at The University of Texas at El Paso?","What is your current Classification at UTEP? ","What is your current total GPA at UTEP?","Do you consent to the use of your data in our study? (All responses are anonymous, and this info will not be publicly available)"
"2022/04/29 1:27:32 PM CDT","","Yes","Senior","2.1",""
"2022/04/29 1:35:43 PM CDT","","Yes","Junior","2.3",""
"2022/04/29 1:36:02 PM CDT","","No","","",""
"2022/04/29 1:36:36 PM CDT","","Yes","Sophomore","3.53",""
"2022/04/29 1:36:44 PM CDT","","Yes","Senior","3.0",""
"2022/04/29 1:37:08 PM CDT","","Yes","Junior","2.42",""
"2022/04/29 1:38:24 PM CDT","","Yes","Junior","3.54",""
"2022/04/29 1:39:03 PM CDT","","No","","",""
"2022/04/29 1:40:25 PM CDT","","Yes","Senior","3.0",""
"2022/04/29 1:40:41 PM CDT","","Yes","Senior","3.1",""
"2022/04/29 1:41:44 PM CDT","","Yes","Senior","3.96",""
"2022/04/29 1:41:46 PM CDT","","Yes","Freshman","3.6",""
"2022/04/29 1:43:03 PM CDT","","Yes","Junior","3.85",""
"2022/04/29 1:55:30 PM CDT","","Yes","Senior","3.19",""
"2022/04/29 2:00:41 PM CDT","","Yes","Senior","4.0",""
"2022/04/29 2:01:11 PM CDT","","No","","",""
"2022/04/29 2:11:41 PM CDT","","Yes","Senior","3.5",""
"2022/04/29 2:12:27 PM CDT","","No","","",""
"2022/04/29 2:16:34 PM CDT","","Yes","Senior","3.30",""
"2022/04/29 2:21:54 PM CDT","","Yes","Junior","2.11",""
"2022/04/29 2:29:05 PM CDT","","Yes","Sophomore","3.4",""
"2022/04/29 2:49:20 PM CDT","","Yes","Senior","3.93",""
"2022/04/29 3:01:12 PM CDT","","Yes","Sophomore","3.05",""
"2022/04/29 3:20:48 PM CDT","","Yes","Senior","4.0",""
"2022/04/29 3:33:58 PM CDT","Yes","Yes","Sophomore","3.3","Yes"
"2022/04/29 3:46:20 PM CDT","Yes","Yes","Senior","3.17","Yes"
"2022/04/29 3:48:09 PM CDT","Yes","Yes","Sophomore","3.3","Yes"
"2022/04/29 4:00:18 PM CDT","Yes","Yes","Junior","3.17","Yes"
"2022/04/29 4:05:08 PM CDT","Yes","Yes","Senior","3.48","Yes"
"2022/04/29 4:10:46 PM CDT","Yes","Yes","Senior","4.0","Yes"
"2022/04/29 4:42:23 PM CDT","Yes","Yes","Freshman","3.6","Yes"
"2022/04/29 5:48:02 PM CDT","Yes","Yes","Junior","3.8","Yes"
"2022/04/29 6:30:26 PM CDT","Yes","Yes","Senior","3.6","Yes"
"2022/04/29 6:55:29 PM CDT","Yes","Yes","Sophomore","2.74","Yes"
"2022/04/29 8:15:00 PM CDT","Yes","Yes","Senior","3.4","Yes"
"2022/04/29 9:13:04 PM CDT","Yes","Yes","Freshman","3.42","Yes"
"2022/04/29 9:26:55 PM CDT","Yes","Yes","Senior","4.0","Yes"
"2022/04/29 10:20:14 PM CDT","Yes","Yes","Junior","3.75","Yes"
"2022/04/29 10:23:21 PM CDT","Yes","Yes","Junior","2.48","Yes"
"2022/04/30 12:28:31 AM CDT","Yes","Yes","Sophomore","2.52","Yes"
"2022/04/30 9:31:27 AM CDT","Yes","Yes","Senior","3.76","Yes"
"2022/04/30 9:53:24 AM CDT","Yes","No","","","Yes"
"2022/04/30 10:09:00 AM CDT","Yes","No","","","Yes"
"2022/04/30 11:18:36 AM CDT","Yes","Yes","Senior","4.0","Yes"
"2022/05/01 11:18:37 AM CDT","Yes","Yes","Junior","3.2","Yes"
"2022/05/02 9:04:24 AM CDT","Yes","Yes","Senior","3.78","Yes"
"2022/05/02 10:10:20 PM CDT","Yes","Yes","Senior","3.80","Yes"
"2022/05/03 12:34:10 PM CDT","Yes","Yes","Sophomore","3.92","Yes"
"2022/05/03 12:34:45 PM CDT","Yes","No","","","Yes"
"2022/05/03 12:35:42 PM CDT","","","","","No"
"2022/05/03 12:36:02 PM CDT","Yes","Yes","Senior","3.5","Yes"
"2022/05/03 12:38:31 PM CDT","","","","","No"
"2022/05/03 1:12:25 PM CDT","Yes","Yes","Senior","3.85","Yes"
"2022/05/03 1:24:45 PM CDT","Yes","Yes","Senior","3.6","Yes"
"2022/05/03 1:25:05 PM CDT","Yes","Yes","Senior","3.82","Yes"
"2022/05/03 1:27:04 PM CDT","Yes","Yes","Senior","2.5","Yes"
"2022/05/03 1:43:10 PM CDT","Yes","Yes","Senior","3.67","Yes"
"2022/05/03 2:12:26 PM CDT","Yes","Yes","Freshman","2.8","Yes"
"2022/05/03 2:22:06 PM CDT","Yes","Yes","Freshman","3.66","Yes"
"2022/05/03 2:22:56 PM CDT","Yes","Yes","Freshman","3.12","Yes"
"2022/05/03 2:24:27 PM CDT","Yes","Yes","Freshman","3.2","Yes"
"2022/05/03 2:25:07 PM CDT","Yes","Yes","Senior","3.00","Yes"
"2022/05/03 2:25:17 PM CDT","Yes","Yes","Junior","4.0","Yes"
"2022/05/03 2:27:09 PM CDT","Yes","Yes","Senior","3.95","Yes"
"2022/05/03 2:28:09 PM CDT","Yes","Yes","Freshman","4.0","Yes"
"2022/05/03 2:29:01 PM CDT","Yes","Yes","Junior","4.0","Yes"
"2022/05/03 2:29:13 PM CDT","Yes","Yes","Senior","2.75","Yes"
"2022/05/03 2:29:59 PM CDT","Yes","No","Senior","3.66","Yes"
"2022/05/03 2:30:36 PM CDT","Yes","Yes","Junior","3.0","Yes"
"2022/05/03 2:31:22 PM CDT","Yes","Yes","Senior","3.5","Yes"
"2022/05/03 2:32:00 PM CDT","Yes","Yes","Freshman","3.0","Yes"
"2022/05/03 2:32:26 PM CDT","Yes","Yes","Junior","0.00","Yes"
"2022/05/03 2:32:45 PM CDT","Yes","Yes","Senior","3.5","Yes"
"2022/05/03 2:34:16 PM CDT","Yes","Yes","Senior","3.7","Yes"
"2022/05/03 2:35:21 PM CDT","Yes","Yes","Freshman","3.4","Yes"
"2022/05/03 2:36:55 PM CDT","Yes","Yes","Junior","3.94","Yes"
"2022/05/03 2:37:19 PM CDT","Yes","Yes","Junior","3.6","Yes"
"2022/05/03 2:37:32 PM CDT","Yes","Yes","Senior","3.92","Yes"
"2022/05/03 2:40:16 PM CDT","Yes","Yes","Junior","3.8","Yes"
"2022/05/03 2:44:06 PM CDT","Yes","Yes","Senior","3.5","Yes"
"2022/05/03 2:46:07 PM CDT","Yes","Yes","Sophomore","3.5","Yes"
"2022/05/03 2:46:51 PM CDT","Yes","Yes","Senior","3.0","Yes"
"2022/05/03 2:46:52 PM CDT","Yes","Yes","Junior","3.6","Yes"
"2022/05/03 2:46:58 PM CDT","Yes","Yes","Senior","3.9","Yes"
"2022/05/03 2:47:26 PM CDT","Yes","Yes","Senior","3","Yes"
"2022/05/03 2:47:31 PM CDT","Yes","Yes","Junior","3.17","Yes"
"2022/05/03 2:56:32 PM CDT","Yes","Yes","Sophomore","3.4","Yes"
"2022/05/03 3:03:07 PM CDT","Yes","Yes","Junior","3.85","Yes"
"2022/05/03 3:13:02 PM CDT","Yes","Yes","Junior","2.7","Yes"
"2022/05/03 3:34:25 PM CDT","Yes","Yes","Senior","3.25","Yes"
"2022/05/03 3:36:09 PM CDT","Yes","Yes","Junior","2.5 ","Yes"
"2022/05/03 3:41:59 PM CDT","Yes","Yes","Junior","0","Yes"
"2022/05/03 3:42:46 PM CDT","Yes","Yes","Freshman","4.0","Yes"
"2022/05/03 3:49:06 PM CDT","Yes","No","Sophomore","3.5","Yes"
"2022/05/03 4:13:50 PM CDT","Yes","Yes","Senior","3.72","Yes"
"2022/05/03 4:24:31 PM CDT","Yes","Yes","Junior","3.82","Yes"
"2022/05/03 4:26:36 PM CDT","Yes","Yes","Junior","4.0","Yes"
"2022/05/03 4:26:38 PM CDT","Yes","Yes","Junior","3.2","Yes"
"2022/05/03 5:02:35 PM CDT","Yes","Yes","Junior","4.0","Yes"
"2022/05/03 5:53:13 PM CDT","Yes","Yes","Junior","3.94","Yes"
"2022/05/03 6:06:32 PM CDT","Yes","Yes","Junior","3.0","Yes"
"2022/05/03 6:07:26 PM CDT","Yes","Yes","Junior","3.15","Yes"
"2022/05/03 6:16:15 PM CDT","Yes","Yes","Senior","3.18","Yes"
"2022/05/03 6:16:44 PM CDT","Yes","Yes","Senior","3","Yes"
"2022/05/03 6:35:57 PM CDT","Yes","Yes","Senior","3.0","Yes"
"2022/05/03 6:37:05 PM CDT","Yes","Yes","Senior","3.4","Yes"
"2022/05/03 6:47:28 PM CDT","Yes","Yes","Freshman","2.75","Yes"
"2022/05/03 7:26:34 PM CDT","Yes","Yes","Freshman","3.5","Yes"
"2022/05/03 9:30:35 PM CDT","Yes","Yes","Freshman","4.00","Yes"